name,force,level,mechanic,equipment,primaryMuscles__-,secondaryMuscles__001,secondaryMuscles__002,secondaryMuscles__003,secondaryMuscles__004,secondaryMuscles__005,secondaryMuscles__006,secondaryMuscles__007,secondaryMuscles__008,secondaryMuscles__009,secondaryMuscles__010,instructions,category
Hang Snatch,pull,expert,compound,barbell,hamstrings,abdominals,calves,forearms,glutes,lower back,quadriceps,shoulders,traps,None,None,"Begin with a wide grip on the bar, with an overhand or hook grip. The feet should be directly below the hips with the feet turned out. Your knees should be slightly bent, and the torso inclined forward. The spine should be fully extended and the head facing forward. The bar should be at the hips. This will be your starting position.",olympic weightlifting
Hang Snatch - Below Knees,pull,expert,compound,barbell,hamstrings,abdominals,calves,forearms,glutes,lower back,quadriceps,shoulders,traps,None,None,"Begin with a wide grip on the bar, with an overhand or hook grip. The feet should be directly below the hips with the feet turned out. Your knees should be slightly bent, and the torso inclined forward. The spine should be fully extended and the head facing forward. The bar should be just below the knees. This will be your starting position.",olympic weightlifting
Hanging Bar Good Morning,push,intermediate,compound,barbell,hamstrings,abdominals,glutes,lower back,None,None,None,None,None,None,None,Begin with a bar on a rack at about the same height as your stomach. Suspend the bar using chains or suspension straps.,powerlifting
Hanging Leg Raise,pull,expert,isolation,body only,abdominals,None,None,None,None,None,None,None,None,None,None,Hang from a chin-up bar with both arms extended at arms length in top of you using either a wide grip or a medium grip. The legs should be straight down with the pelvis rolled slightly backwards. This will be your starting position.,strength
Hanging Pike,pull,expert,compound,body only,abdominals,None,None,None,None,None,None,None,None,None,None,Hang from a chin-up bar with your legs and feet together using an overhand grip (palms facing away from you) that is slightly wider than shoulder width. Tip: You may use wrist wraps in order to facilitate holding on to the bar.,strength
Heaving Snatch Balance,push,intermediate,compound,barbell,quadriceps,abdominals,forearms,glutes,hamstrings,shoulders,triceps,None,None,None,None,"This drill helps you learn the snatch. Begin by holding a light weight across the back of the shoulders. Your feet should be slightly wider than hip width apart with the feet turned out, the same position that you would perform a squat with.",olympic weightlifting
Heavy Bag Thrust,push,beginner,compound,other,chest,abdominals,shoulders,triceps,None,None,None,None,None,None,None,"Utilize a heavy bag for this exercise. Assume an upright stance next to the bag, with your feet staggered, fairly wide apart. Place your hand on the bag at about chest height. This will be your starting position.",plyometrics
High Cable Curls,pull,intermediate,compound,cable,biceps,None,None,None,None,None,None,None,None,None,None,Stand between a couple of high pulleys and grab a handle in each arm. Position your upper arms in a way that they are parallel to the floor with the palms of your hands facing you. This will be your starting position.,strength
Hip Circles (prone),pull,beginner,isolation,body only,abductors,adductors,None,None,None,None,None,None,None,None,None,"Position yourself on your hands and knees on the ground. Maintaining good posture, raise one bent knee off of the ground. This will be your starting position.",stretching
Hip Extension with Bands,push,beginner,compound,bands,glutes,hamstrings,None,None,None,None,None,None,None,None,None,Secure one end of the band to the lower portion of a post and attach the other to one ankle.,strength
Hip Flexion with Band,pull,beginner,compound,bands,quadriceps,None,None,None,None,None,None,None,None,None,None,Secure one end of the band to the lower portion of a post and attach the other to one ankle.,strength
Hip Lift with Band,push,beginner,compound,bands,glutes,calves,hamstrings,None,None,None,None,None,None,None,None,"After choosing a suitable band, lay down in the middle of the rack, after securing the band on either side of you. If your rack doesn't have pegs, the band can be secured using heavy dumbbells or similar objects, just ensure they won't move.",powerlifting
Hug A Ball,static,beginner,isolation,exercise ball,lower back,calves,glutes,None,None,None,None,None,None,None,None,Seat yourself on the floor.,stretching
Hug Knees To Chest,static,beginner,None,None,lower back,glutes,None,None,None,None,None,None,None,None,None,Lie down on your back and pull both knees up to your chest.,stretching
Hurdle Hops,push,beginner,compound,other,hamstrings,abductors,adductors,calves,glutes,hamstrings,None,None,None,None,None,"Set up a row of hurdles or other small barriers, placing them a few feet apart.",plyometrics
Hyperextensions (Back Extensions),pull,beginner,isolation,other,lower back,glutes,hamstrings,None,None,None,None,None,None,None,None,"Lie face down on a hyperextension bench, tucking your ankles securely under the footpads.",strength
Hyperextensions With No Hyperextension Bench,pull,intermediate,compound,body only,lower back,glutes,hamstrings,None,None,None,None,None,None,None,None,"With someone holding down your legs, slide yourself down to the edge a flat bench until your hips hang off the end of the bench. Tip: Your entire upper body should be hanging down towards the floor. Also, you will be in the same position as if you were on a hyperextension bench but the range of motion will be shorter due to the height of the flat bench vs. that of the hyperextension bench.",strength
IT Band and Glute Stretch,static,intermediate,None,other,abductors,None,None,None,None,None,None,None,None,None,None,"Loop a belt, rope, or band around one of your feet, and swing that leg across your body to the opposite side, keeping the leg extended as you lay on the ground. This will be your starting position.",stretching
Iliotibial Tract-SMR,static,intermediate,isolation,foam roll,abductors,None,None,None,None,None,None,None,None,None,None,"Lay on your side, with the bottom leg placed onto a foam roller between the hip and the knee. The other leg can be crossed in front of you.",stretching
Inchworm,None,beginner,compound,body only,hamstrings,None,None,None,None,None,None,None,None,None,None,"Stand with your feet close together. Keeping your legs straight, stretch down and put your hands on the floor directly in front of you. This will be your starting position.",stretching
Incline Barbell Triceps Extension,push,intermediate,isolation,barbell,triceps,forearms,None,None,None,None,None,None,None,None,None,Hold a barbell with an overhand grip (palms down) that is a little closer together than shoulder width.,strength
Incline Bench Pull,pull,beginner,isolation,barbell,middle back,lats,shoulders,None,None,None,None,None,None,None,None,Grab a dumbbell in each hand and lie face down on an incline bench that is set to an incline that is approximately 30 degrees.,strength
Incline Cable Chest Press,push,beginner,compound,cable,chest,shoulders,triceps,None,None,None,None,None,None,None,None,"Adjust the weight to an appropriate amount and be seated, grasping the handles. Your upper arms should be about 45 degrees to the body, with your head and chest up. The elbows should be bent to about 90 degrees. This will be your starting position.",strength
Incline Cable Flye,push,intermediate,isolation,cable,chest,shoulders,None,None,None,None,None,None,None,None,None,"To get yourself into the starting position, set the pulleys at the floor level (lowest level possible on the machine that is below your torso).",strength
Incline Dumbbell Bench With Palms Facing In,push,beginner,compound,dumbbell,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Lie back on an incline bench with a dumbbell on each hand on top of your thighs. The palms of your hand will be facing each other.,strength
Incline Dumbbell Curl,pull,beginner,isolation,dumbbell,biceps,None,None,None,None,None,None,None,None,None,None,Sit back on an incline bench with a dumbbell in each hand held at arms length. Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. This will be your starting position.,strength
Incline Dumbbell Flyes,push,beginner,compound,dumbbell,chest,shoulders,None,None,None,None,None,None,None,None,None,Hold a dumbbell on each hand and lie on an incline bench that is set to an incline angle of no more than 30 degrees.,strength
Incline Dumbbell Flyes - With A Twist,push,beginner,compound,dumbbell,chest,shoulders,None,None,None,None,None,None,None,None,None,Hold a dumbbell in each hand and lie on an incline bench that is set to an incline angle of no more than 30 degrees.,strength
Incline Dumbbell Press,push,beginner,compound,dumbbell,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Lie back on an incline bench with a dumbbell in each hand atop your thighs. The palms of your hands will be facing each other.,strength
